    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       598,       594,              0,              4,         0,         0,              0,              0,         0,     59.99,      0.10,         0,       0.334035
  204,  232,       486,       485,              0,              1,         0,         0,              0,              0,         0,     59.99,      0.08,         0,       0.509647
  233,  205,       191,       190,              0,              1,         0,         0,              0,              0,         0,     60.00,      0.03,         0,       0.536734
  249,  251,        16,         0,              0,             16,         0,         0,              0,              0,         0,     64.99,      0.01,      0.18,       0.482947
  252,  250,         6,         0,              0,              6,         0,         0,              0,              0,         0,     64.99,      0.00,      0.18,       0.492451
  277,  283,        15,         0,              0,             15,         0,         0,              0,              0,         0,     64.99,      0.01,      0.18,       0.301530
  284,  278,         8,         0,              0,              8,         0,         0,              0,              0,         0,     64.99,      0.00,      0.18,       0.291926
  286,  158,       232,       232,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.04,         0,       0.307521
