    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      5376,      5199,              0,            178,         0,         0,              0,              0,         0,     46.08,      0.92,         0,       0.434892
  204,  232,      4474,      4407,              0,             67,         0,         0,              0,              0,         0,     59.84,      0.77,         0,       0.510988
  233,  205,      1425,      1399,              0,             25,         0,         0,              0,              0,         0,     59.99,      0.24,         0,       0.536816
  249,  251,      1099,         0,              0,           1099,         0,         0,              0,              0,         0,     64.77,      0.61,      0.18,       0.484574
  252,  250,       183,         0,              0,            183,         0,         0,              0,              0,         0,     64.98,      0.10,      0.18,       0.492549
  277,  283,      1449,         0,              0,           1449,         0,         0,              0,              0,         0,     64.13,      0.81,      0.36,       0.305590
  284,  278,       257,         0,              0,            257,         0,         0,              0,              0,         0,     64.97,      0.14,      0.18,       0.292012
  286,  158,      1716,      1697,              0,             19,         0,         0,              0,              0,         0,     59.98,      0.29,         0,       0.307583
