    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      2659,      2609,              0,             49,         0,         0,              0,              0,         0,     59.97,      0.46,         0,       0.334173
  204,  232,      2132,      2121,              0,             11,         0,         0,              0,              0,         0,     59.98,      0.37,         0,       0.509784
  233,  205,      1959,      1936,              0,             23,         0,         0,              0,              0,         0,     59.98,      0.34,         0,       0.536871
  249,  251,       193,         0,              0,            193,         0,         0,              0,              0,         0,     64.98,      0.11,      0.18,       0.483044
  252,  250,       165,         0,              0,            165,         0,         0,              0,              0,         0,     64.98,      0.09,      0.18,       0.492538
  277,  283,       187,         0,              0,            187,         0,         0,              0,              0,         0,     64.98,      0.10,      0.18,       0.301589
  284,  278,       232,         0,              0,            232,         0,         0,              0,              0,         0,     64.97,      0.13,      0.18,       0.292002
  286,  158,      2369,      2356,              0,             13,         0,         0,              0,              0,         0,     59.97,      0.41,         0,       0.307630
