    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      2904,      2850,              0,             54,         0,         0,              0,              0,         0,     59.96,      0.50,         0,       0.334206
  204,  232,      2329,      2317,              0,             12,         0,         0,              0,              0,         0,     59.98,      0.40,         0,       0.509810
  233,  205,      1695,      1675,              0,             20,         0,         0,              0,              0,         0,     59.98,      0.29,         0,       0.536842
  249,  251,       212,         0,              0,            212,         0,         0,              0,              0,         0,     64.97,      0.12,      0.18,       0.483056
  252,  250,       142,         0,              0,            142,         0,         0,              0,              0,         0,     64.98,      0.08,      0.18,       0.492524
  277,  283,       206,         0,              0,            206,         0,         0,              0,              0,         0,     64.97,      0.11,      0.18,       0.301596
  284,  278,       201,         0,              0,            201,         0,         0,              0,              0,         0,     64.97,      0.11,      0.18,       0.291990
  286,  158,      2050,      2038,              0,             11,         0,         0,              0,              0,         0,     59.98,      0.35,         0,       0.307605
