    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      1080,      1073,              0,              7,         0,         0,              0,              0,         0,     59.99,      0.19,         0,       0.334055
  204,  232,       877,       875,              0,              2,         0,         0,              0,              0,         0,     59.99,      0.15,         0,       0.509670
  233,  205,      1985,      1976,              0,              9,         0,         0,              0,              0,         0,     59.98,      0.34,         0,       0.536875
  249,  251,        29,         0,              0,             29,         0,         0,              0,              0,         0,     64.99,      0.02,      0.18,       0.482953
  252,  250,        61,         0,              0,             61,         0,         0,              0,              0,         0,     64.99,      0.03,      0.18,       0.492479
  277,  283,        28,         0,              0,             28,         0,         0,              0,              0,         0,     64.99,      0.02,      0.18,       0.301534
  284,  278,        86,         0,              0,             86,         0,         0,              0,              0,         0,     64.98,      0.05,      0.18,       0.291950
  286,  158,      2419,      2414,              0,              5,         0,         0,              0,              0,         0,     59.97,      0.42,         0,       0.307635
