    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      4856,      4702,              0,            154,         0,         0,              0,              0,         0,     59.65,      0.83,         0,       0.335946
  204,  232,      3995,      3945,              0,             50,         0,         0,              0,              0,         0,     59.91,      0.69,         0,       0.510373
  233,  205,       904,       888,              0,             16,         0,         0,              0,              0,         0,     59.99,      0.16,         0,       0.536776
  249,  251,       838,         0,              0,            838,         0,         0,              0,              0,         0,     64.88,      0.47,      0.18,       0.483770
  252,  250,       116,         0,              0,            116,         0,         0,              0,              0,         0,     64.98,      0.06,      0.18,       0.492509
  277,  283,      1060,         0,              0,           1060,         0,         0,              0,              0,         0,     64.79,      0.59,      0.18,       0.302439
  284,  278,       163,         0,              0,            163,         0,         0,              0,              0,         0,     64.98,      0.09,      0.18,       0.291976
  286,  158,      1086,      1077,              0,              9,         0,         0,              0,              0,         0,     59.99,      0.19,         0,       0.307551
