    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      2542,      2494,              0,             47,         0,         0,              0,              0,         0,     59.97,      0.44,         0,       0.334160
  204,  232,      2038,      2028,              0,             10,         0,         0,              0,              0,         0,     59.98,      0.35,         0,       0.509772
  233,  205,      2692,      2660,              0,             32,         0,         0,              0,              0,         0,     59.97,      0.46,         0,       0.536985
  249,  251,       185,         0,              0,            185,         0,         0,              0,              0,         0,     64.98,      0.10,      0.18,       0.483039
  252,  250,       230,         0,              0,            230,         0,         0,              0,              0,         0,     64.97,      0.13,      0.18,       0.492579
  277,  283,       179,         0,              0,            179,         0,         0,              0,              0,         0,     64.98,      0.10,      0.18,       0.301585
  284,  278,       325,         0,              0,            325,         0,         0,              0,              0,         0,     64.96,      0.18,      0.18,       0.292041
  286,  158,      3254,      3236,              0,             18,         0,         0,              0,              0,         0,     59.95,      0.56,         0,       0.307745
