    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      2235,      2172,              0,             62,         0,         0,              0,              0,         0,     59.98,      0.38,         0,       0.334129
  204,  232,      1775,      1761,              0,             13,         0,         0,              0,              0,         0,     59.98,      0.30,         0,       0.509743
  233,  205,      3739,      3668,              0,             72,         0,         0,              0,              0,         0,     59.93,      0.64,         0,       0.537338
  249,  251,       246,         0,              0,            246,         0,         0,              0,              0,         0,     64.97,      0.14,      0.18,       0.483077
  252,  250,       526,         0,              0,            526,         0,         0,              0,              0,         0,     64.94,      0.29,      0.18,       0.492828
  277,  283,       238,         0,              0,            238,         0,         0,              0,              0,         0,     64.97,      0.13,      0.18,       0.301609
  284,  278,       740,         0,              0,            740,         0,         0,              0,              0,         0,     64.90,      0.41,      0.18,       0.292317
  286,  158,      4483,      4444,              0,             39,         0,         0,              0,              0,         0,     59.83,      0.77,         0,       0.308350
