    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      4906,      4749,              0,            157,         0,         0,              0,              0,         0,     59.60,      0.84,         0,       0.336254
  204,  232,      4042,      3990,              0,             52,         0,         0,              0,              0,         0,     59.90,      0.69,         0,       0.510412
  233,  205,      1475,      1449,              0,             26,         0,         0,              0,              0,         0,     59.99,      0.25,         0,       0.536821
  249,  251,       868,         0,              0,            868,         0,         0,              0,              0,         0,     64.87,      0.48,      0.18,       0.483834
  252,  250,       189,         0,              0,            189,         0,         0,              0,              0,         0,     64.98,      0.11,      0.18,       0.492553
  277,  283,      1104,         0,              0,           1104,         0,         0,              0,              0,         0,     64.77,      0.61,      0.18,       0.302559
  284,  278,       266,         0,              0,            266,         0,         0,              0,              0,         0,     64.97,      0.15,      0.18,       0.292016
  286,  158,      1772,      1757,              0,             15,         0,         0,              0,              0,         0,     59.98,      0.30,         0,       0.307586
