    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       855,       849,              0,              6,         0,         0,              0,              0,         0,     59.99,      0.15,         0,       0.334045
  204,  232,       694,       692,              0,              1,         0,         0,              0,              0,         0,     59.99,      0.12,         0,       0.509659
  233,  205,      1618,      1611,              0,              7,         0,         0,              0,              0,         0,     59.98,      0.28,         0,       0.536835
  249,  251,        23,         0,              0,             23,         0,         0,              0,              0,         0,     64.99,      0.01,      0.18,       0.482950
  252,  250,        49,         0,              0,             49,         0,         0,              0,              0,         0,     64.99,      0.03,      0.18,       0.492473
  277,  283,        22,         0,              0,             22,         0,         0,              0,              0,         0,     64.99,      0.01,      0.18,       0.301532
  284,  278,        70,         0,              0,             70,         0,         0,              0,              0,         0,     64.98,      0.04,      0.18,       0.291945
  286,  158,      1972,      1969,              0,              4,         0,         0,              0,              0,         0,     59.98,      0.34,         0,       0.307599
