    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      3264,      3203,              0,             61,         0,         0,              0,              0,         0,     59.95,      0.56,         0,       0.334268
  204,  232,      2618,      2604,              0,             13,         0,         0,              0,              0,         0,     59.97,      0.45,         0,       0.509857
  233,  205,      1555,      1536,              0,             18,         0,         0,              0,              0,         0,     59.99,      0.27,         0,       0.536828
  249,  251,       241,         0,              0,            241,         0,         0,              0,              0,         0,     64.97,      0.13,      0.18,       0.483075
  252,  250,       131,         0,              0,            131,         0,         0,              0,              0,         0,     64.98,      0.07,      0.18,       0.492518
  277,  283,       235,         0,              0,            235,         0,         0,              0,              0,         0,     64.97,      0.13,      0.18,       0.301607
  284,  278,       184,         0,              0,            184,         0,         0,              0,              0,         0,     64.98,      0.10,      0.18,       0.291984
  286,  158,      1880,      1869,              0,             10,         0,         0,              0,              0,         0,     59.98,      0.32,         0,       0.307593
