A,B,PULL,Seg,Dir,LType
21923,21924,1,1,NB,EL
21945,4113,1,1,NB,GU
21921,21922,1,1,SB,EL
4935,21944,1,1,SB,GU
21949,21929,1,2,NB,EL
21913,21914,1,2,SB,EL
21947,6974,1,2,NB,GU
5014,6972,1,2,SB,GU
17316,21957,1,3,NB,GU
21956,17315,1,3,SB,GU
21907,21935,1,3,SB,EL
21936,21938,1,3,NB,EL
