    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       147,       144,              2,              1,         0,         0,              0,              0,         0,     60.00,      0.03,         0,       0.334020
  204,  232,       119,       118,              1,              0,         0,         0,              0,              0,         0,     60.00,      0.02,         0,       0.509629
  233,  205,       397,       391,              3,              2,         0,         0,              0,              0,         0,     60.00,      0.07,         0,       0.536745
  249,  251,         5,         0,              0,              5,         0,         0,              0,              0,         0,     64.99,      0.00,         0,       0.482941
  252,  250,        16,         0,              0,             16,         0,         0,              0,              0,         0,     64.99,      0.01,         0,       0.492456
  277,  283,         5,         0,              0,              5,         0,         0,              0,              0,         0,     64.99,      0.00,         0,       0.301527
  284,  278,        21,         0,              0,             21,         0,         0,              0,              0,         0,     64.99,      0.01,         0,       0.291930
  286,  158,       483,       479,              4,              1,         0,         0,              0,              0,         0,     59.99,      0.08,         0,       0.307528
