    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      3937,      3642,            182,            113,         0,         0,              0,              0,         0,     59.91,      0.68,         0,       0.334478
  204,  232,      3120,      2973,            121,             26,         0,         0,              0,              0,         0,     59.96,      0.54,         0,       0.509967
  233,  205,      1497,      1409,             57,             31,         0,         0,              0,              0,         0,     59.99,      0.26,         0,       0.536823
  249,  251,       502,         0,              0,            502,         0,         0,              0,              0,         0,     64.94,      0.28,         0,       0.483287
  252,  250,       248,         0,              0,            248,         0,         0,              0,              0,         0,     64.97,      0.14,         0,       0.492591
  277,  283,       496,         0,              0,            496,         0,         0,              0,              0,         0,     64.94,      0.28,         0,       0.301739
  284,  278,       338,         0,              0,            338,         0,         0,              0,              0,         0,     64.96,      0.19,         0,       0.292047
  286,  158,      1798,      1718,             62,             18,         0,         0,              0,              0,         0,     59.98,      0.31,         0,       0.307588
