    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      2436,      2244,            114,             79,         0,         0,              0,              0,         0,     59.97,      0.42,         0,       0.334148
  204,  232,      1921,      1829,             75,             17,         0,         0,              0,              0,         0,     59.98,      0.33,         0,       0.509759
  233,  205,      4684,      4389,            181,            114,         0,         0,              0,              0,         0,     59.77,      0.80,         0,       0.538796
  249,  251,       338,         0,              0,            338,         0,         0,              0,              0,         0,     64.96,      0.19,         0,       0.483143
  252,  250,       849,         0,              0,            849,         0,         0,              0,              0,         0,     64.88,      0.47,      0.18,       0.493317
  277,  283,       328,         0,              0,            328,         0,         0,              0,              0,         0,     64.96,      0.18,         0,       0.301648
  284,  278,      1463,         0,              0,           1463,         0,         0,              0,              0,         0,     64.05,      0.81,      0.39,       0.296228
  286,  158,      5312,      5225,             34,             53,         0,         0,              0,              0,         0,     50.80,      0.91,         0,       0.363176
