    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      1978,      1908,             41,             29,         0,         0,              0,              0,         0,     59.98,      0.34,         0,       0.334108
  204,  232,      1590,      1557,             27,              6,         0,         0,              0,              0,         0,     59.99,      0.27,         0,       0.509725
  233,  205,       348,       339,              6,              3,         0,         0,              0,              0,         0,     60.00,      0.06,         0,       0.536742
  249,  251,       125,         0,              0,            125,         0,         0,              0,              0,         0,     64.98,      0.07,         0,       0.483004
  252,  250,        26,         0,              0,             26,         0,         0,              0,              0,         0,     64.99,      0.01,         0,       0.492461
  277,  283,       121,         0,              0,            121,         0,         0,              0,              0,         0,     64.98,      0.07,         0,       0.301564
  284,  278,        35,         0,              0,             35,         0,         0,              0,              0,         0,     64.99,      0.02,         0,       0.291934
  286,  158,       423,       415,              6,              2,         0,         0,              0,              0,         0,     59.99,      0.07,         0,       0.307526
