    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      2381,      2258,             72,             51,         0,         0,              0,              0,         0,     59.97,      0.41,         0,       0.334143
  204,  232,      1900,      1842,             48,             11,         0,         0,              0,              0,         0,     59.98,      0.33,         0,       0.509756
  233,  205,      2160,      2078,             53,             30,         0,         0,              0,              0,         0,     59.98,      0.37,         0,       0.536897
  249,  251,       218,         0,              0,            218,         0,         0,              0,              0,         0,     64.97,      0.12,         0,       0.483060
  252,  250,       235,         0,              0,            235,         0,         0,              0,              0,         0,     64.97,      0.13,         0,       0.492583
  277,  283,       212,         0,              0,            212,         0,         0,              0,              0,         0,     64.97,      0.12,         0,       0.301598
  284,  278,       322,         0,              0,            322,         0,         0,              0,              0,         0,     64.96,      0.18,         0,       0.292040
  286,  158,      2612,      2537,             57,             17,         0,         0,              0,              0,         0,     59.97,      0.45,         0,       0.307654
