    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      2144,      1975,            100,             69,         0,         0,              0,              0,         0,     59.98,      0.37,         0,       0.334121
  204,  232,      1690,      1609,             66,             15,         0,         0,              0,              0,         0,     59.98,      0.29,         0,       0.509735
  233,  205,      3735,      3523,            140,             72,         0,         0,              0,              0,         0,     59.93,      0.64,         0,       0.537335
  249,  251,       297,         0,              0,            297,         0,         0,              0,              0,         0,     64.97,      0.16,         0,       0.483113
  252,  250,       531,         0,              0,            531,         0,         0,              0,              0,         0,     64.94,      0.29,         0,       0.492833
  277,  283,       288,         0,              0,            288,         0,         0,              0,              0,         0,     64.97,      0.16,         0,       0.301630
  284,  278,       744,         0,              0,            744,         0,         0,              0,              0,         0,     64.90,      0.41,      0.18,       0.292322
  286,  158,      4479,      4288,            151,             39,         0,         0,              0,              0,         0,     59.84,      0.77,         0,       0.308344
