    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       809,       794,              9,              6,         0,         0,              0,              0,         0,     59.99,      0.14,         0,       0.334043
  204,  232,       656,       648,              6,              1,         0,         0,              0,              0,         0,     59.99,      0.11,         0,       0.509657
  233,  205,      1604,      1582,             14,              8,         0,         0,              0,              0,         0,     59.99,      0.28,         0,       0.536833
  249,  251,        27,         0,              0,             27,         0,         0,              0,              0,         0,     64.99,      0.02,         0,       0.482952
  252,  250,        64,         0,              0,             64,         0,         0,              0,              0,         0,     64.99,      0.04,         0,       0.492480
  277,  283,        26,         0,              0,             26,         0,         0,              0,              0,         0,     64.99,      0.01,         0,       0.301533
  284,  278,        87,         0,              0,             87,         0,         0,              0,              0,         0,     64.98,      0.05,         0,       0.291950
  286,  158,      1955,      1936,             15,              5,         0,         0,              0,              0,         0,     59.98,      0.34,         0,       0.307598
