    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       107,       105,              1,              1,         0,         0,              0,              0,         0,     60.00,      0.02,         0,       0.334018
  204,  232,        87,        86,              1,              0,         0,         0,              0,              0,         0,     60.00,      0.01,         0,       0.509627
  233,  205,       220,       217,              2,              1,         0,         0,              0,              0,         0,     60.00,      0.04,         0,       0.536735
  249,  251,         4,         0,              0,              4,         0,         0,              0,              0,         0,     64.99,      0.00,         0,       0.482941
  252,  250,         9,         0,              0,              9,         0,         0,              0,              0,         0,     64.99,      0.00,         0,       0.492453
  277,  283,         3,         0,              0,              3,         0,         0,              0,              0,         0,     64.99,      0.00,         0,       0.301526
  284,  278,        12,         0,              0,             12,         0,         0,              0,              0,         0,     64.99,      0.01,         0,       0.291927
  286,  158,       269,       266,              2,              1,         0,         0,              0,              0,         0,     60.00,      0.05,         0,       0.307522
