    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      3169,      3005,             96,             68,         0,         0,              0,              0,         0,     59.96,      0.54,         0,       0.334250
  204,  232,      2530,      2451,             64,             15,         0,         0,              0,              0,         0,     59.97,      0.43,         0,       0.509841
  233,  205,      1520,      1462,             37,             21,         0,         0,              0,              0,         0,     59.99,      0.26,         0,       0.536825
  249,  251,       296,         0,              0,            296,         0,         0,              0,              0,         0,     64.97,      0.16,         0,       0.483112
  252,  250,       165,         0,              0,            165,         0,         0,              0,              0,         0,     64.98,      0.09,         0,       0.492538
  277,  283,       289,         0,              0,            289,         0,         0,              0,              0,         0,     64.97,      0.16,         0,       0.301630
  284,  278,       226,         0,              0,            226,         0,         0,              0,              0,         0,     64.97,      0.13,         0,       0.292000
  286,  158,      1838,      1786,             40,             12,         0,         0,              0,              0,         0,     59.98,      0.32,         0,       0.307590
