    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      1033,      1014,             11,              8,         0,         0,              0,              0,         0,     59.99,      0.18,         0,       0.334053
  204,  232,       837,       828,              7,              2,         0,         0,              0,              0,         0,     59.99,      0.14,         0,       0.509668
  233,  205,      1967,      1941,             17,             10,         0,         0,              0,              0,         0,     59.98,      0.34,         0,       0.536873
  249,  251,        35,         0,              0,             35,         0,         0,              0,              0,         0,     64.99,      0.02,         0,       0.482956
  252,  250,        78,         0,              0,             78,         0,         0,              0,              0,         0,     64.98,      0.04,         0,       0.492488
  277,  283,        34,         0,              0,             34,         0,         0,              0,              0,         0,     64.99,      0.02,         0,       0.301536
  284,  278,       107,         0,              0,            107,         0,         0,              0,              0,         0,     64.98,      0.06,         0,       0.291957
  286,  158,      2398,      2374,             19,              6,         0,         0,              0,              0,         0,     59.97,      0.41,         0,       0.307633
