    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      5376,      5055,            143,            178,         0,         0,              0,              0,         0,     46.08,      0.92,         0,       0.434870
  204,  232,      4474,      4221,            186,             67,         0,         0,              0,              0,         0,     59.84,      0.77,         0,       0.510988
  233,  205,      1379,      1298,             53,             29,         0,         0,              0,              0,         0,     59.99,      0.24,         0,       0.536812
  249,  251,      1100,         0,              0,           1100,         0,         0,              0,              0,         0,     64.77,      0.61,      0.18,       0.484574
  252,  250,       228,         0,              0,            228,         0,         0,              0,              0,         0,     64.97,      0.13,         0,       0.492578
  277,  283,      1449,         0,              0,           1449,         0,         0,              0,              0,         0,     64.12,      0.81,      0.36,       0.305591
  284,  278,       312,         0,              0,            312,         0,         0,              0,              0,         0,     64.96,      0.17,         0,       0.292035
  286,  158,      1661,      1584,             57,             21,         0,         0,              0,              0,         0,     59.98,      0.29,         0,       0.307580
