    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       301,       296,              3,              2,         0,         0,              0,              0,         0,     60.00,      0.05,         0,       0.334025
  204,  232,       248,       245,              2,              0,         0,         0,              0,              0,         0,     60.00,      0.04,         0,       0.509635
  233,  205,        69,        68,              1,              0,         0,         0,              0,              0,         0,     60.00,      0.01,         0,       0.536728
  249,  251,        11,         0,              0,             11,         0,         0,              0,              0,         0,     64.99,      0.01,         0,       0.482944
  252,  250,         3,         0,              0,              3,         0,         0,              0,              0,         0,     64.99,      0.00,         0,       0.492450
  277,  283,        10,         0,              0,             10,         0,         0,              0,              0,         0,     64.99,      0.01,         0,       0.301528
  284,  278,         4,         0,              0,              4,         0,         0,              0,              0,         0,     64.99,      0.00,         0,       0.291925
  286,  158,        81,        81,              1,              0,         0,         0,              0,              0,         0,     60.00,      0.01,         0,       0.307516
