    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,        86,        85,              1,              1,         0,         0,              0,              0,         0,     60.00,      0.01,         0,       0.334018
  204,  232,        72,        72,              1,              0,         0,         0,              0,              0,         0,     60.00,      0.01,         0,       0.509627
  233,  205,        38,        37,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.01,         0,       0.536726
  249,  251,         3,         0,              0,              3,         0,         0,              0,              0,         0,     64.99,      0.00,         0,       0.482941
  252,  250,         2,         0,              0,              2,         0,         0,              0,              0,         0,     64.99,      0.00,         0,       0.492449
  277,  283,         3,         0,              0,              3,         0,         0,              0,              0,         0,     64.99,      0.00,         0,       0.301526
  284,  278,         2,         0,              0,              2,         0,         0,              0,              0,         0,     64.99,      0.00,         0,       0.291924
  286,  158,        43,        43,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.01,         0,       0.307515
