    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      1885,      1799,             55,             32,         0,         0,              0,              0,         0,     59.98,      0.32,         0,       0.334101
  204,  232,      1517,      1476,             33,              7,         0,         0,              0,              0,         0,     59.99,      0.26,         0,       0.509719
  233,  205,       880,       850,             19,             10,         0,         0,              0,              0,         0,     59.99,      0.15,         0,       0.536774
  249,  251,       181,         0,              0,            181,         0,         0,              0,              0,         0,     64.98,      0.10,         0,       0.483037
  252,  250,       101,         0,              0,            101,         0,         0,              0,              0,         0,     64.98,      0.06,         0,       0.492501
  277,  283,       179,         0,              0,            179,         0,         0,              0,              0,         0,     64.98,      0.10,         0,       0.301585
  284,  278,       132,         0,              0,            132,         0,         0,              0,              0,         0,     64.98,      0.07,         0,       0.291965
  286,  158,      1068,      1037,             20,             10,         0,         0,              0,              0,         0,     59.99,      0.18,         0,       0.307550
