    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       892,       864,             18,             10,         0,         0,              0,              0,         0,     59.99,      0.15,         0,       0.334047
  204,  232,       724,       711,             11,              2,         0,         0,              0,              0,         0,     59.99,      0.12,         0,       0.509661
  233,  205,      1565,      1530,             23,             13,         0,         0,              0,              0,         0,     59.99,      0.27,         0,       0.536829
  249,  251,        59,         0,              0,             59,         0,         0,              0,              0,         0,     64.99,      0.03,         0,       0.482968
  252,  250,       123,         0,              0,            123,         0,         0,              0,              0,         0,     64.98,      0.07,         0,       0.492513
  277,  283,        58,         0,              0,             58,         0,         0,              0,              0,         0,     64.99,      0.03,         0,       0.301543
  284,  278,       161,         0,              0,            161,         0,         0,              0,              0,         0,     64.98,      0.09,         0,       0.291976
  286,  158,      1906,      1869,             25,             12,         0,         0,              0,              0,         0,     59.98,      0.33,         0,       0.307595
