    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,        54,        53,              1,              0,         0,         0,              0,              0,         0,     60.00,      0.01,         0,       0.334017
  204,  232,        46,        46,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.01,         0,       0.509625
  233,  205,       196,       193,              2,              1,         0,         0,              0,              0,         0,     60.00,      0.03,         0,       0.536734
  249,  251,         2,         0,              0,              2,         0,         0,              0,              0,         0,     64.99,      0.00,         0,       0.482940
  252,  250,         8,         0,              0,              8,         0,         0,              0,              0,         0,     64.99,      0.00,         0,       0.492452
  277,  283,         2,         0,              0,              2,         0,         0,              0,              0,         0,     64.99,      0.00,         0,       0.301526
  284,  278,        11,         0,              0,             11,         0,         0,              0,              0,         0,     64.99,      0.01,         0,       0.291927
  286,  158,       236,       234,              2,              1,         0,         0,              0,              0,         0,     60.00,      0.04,         0,       0.307521
