    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      1502,      1397,             67,             38,         0,         0,              0,              0,         0,     59.99,      0.26,         0,       0.334077
  204,  232,      1195,      1145,             41,              9,         0,         0,              0,              0,         0,     59.99,      0.21,         0,       0.509692
  233,  205,      3295,      3134,            109,             51,         0,         0,              0,              0,         0,     59.95,      0.57,         0,       0.537142
  249,  251,       219,         0,              0,            219,         0,         0,              0,              0,         0,     64.97,      0.12,         0,       0.483060
  252,  250,       484,         0,              0,            484,         0,         0,              0,              0,         0,     64.95,      0.27,         0,       0.492785
  277,  283,       216,         0,              0,            216,         0,         0,              0,              0,         0,     64.97,      0.12,         0,       0.301600
  284,  278,       652,         0,              0,            652,         0,         0,              0,              0,         0,     64.92,      0.36,      0.23,       0.292239
  286,  158,      4053,      3883,            122,             48,         0,         0,              0,              0,         0,     59.90,      0.70,         0,       0.307996
