    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      1436,      1335,             64,             36,         0,         0,              0,              0,         0,     59.99,      0.25,         0,       0.334073
  204,  232,      1143,      1095,             39,              8,         0,         0,              0,              0,         0,     59.99,      0.20,         0,       0.509688
  233,  205,      3320,      3157,            110,             52,         0,         0,              0,              0,         0,     59.95,      0.57,         0,       0.537150
  249,  251,       209,         0,              0,            209,         0,         0,              0,              0,         0,     64.97,      0.12,         0,       0.483054
  252,  250,       487,         0,              0,            487,         0,         0,              0,              0,         0,     64.94,      0.27,         0,       0.492787
  277,  283,       207,         0,              0,            207,         0,         0,              0,              0,         0,     64.97,      0.11,         0,       0.301596
  284,  278,       656,         0,              0,            656,         0,         0,              0,              0,         0,     64.92,      0.36,      0.23,       0.292242
  286,  158,      4082,      3911,            123,             48,         0,         0,              0,              0,         0,     59.90,      0.70,         0,       0.308011
