    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       591,       581,              6,              4,         0,         0,              0,              0,         0,     59.99,      0.10,         0,       0.334035
  204,  232,       484,       479,              4,              1,         0,         0,              0,              0,         0,     59.99,      0.08,         0,       0.509647
  233,  205,      1153,      1139,              9,              5,         0,         0,              0,              0,         0,     59.99,      0.20,         0,       0.536794
  249,  251,        21,         0,              0,             21,         0,         0,              0,              0,         0,     64.99,      0.01,         0,       0.482949
  252,  250,        48,         0,              0,             48,         0,         0,              0,              0,         0,     64.99,      0.03,         0,       0.492472
  277,  283,        21,         0,              0,             21,         0,         0,              0,              0,         0,     64.99,      0.01,         0,       0.301532
  284,  278,        63,         0,              0,             63,         0,         0,              0,              0,         0,     64.99,      0.03,         0,       0.291943
  286,  158,      1407,      1393,              9,              5,         0,         0,              0,              0,         0,     59.99,      0.24,         0,       0.307566
