    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      1435,      1334,             64,             36,         0,         0,              0,              0,         0,     59.99,      0.25,         0,       0.334073
  204,  232,      1142,      1094,             39,              8,         0,         0,              0,              0,         0,     59.99,      0.20,         0,       0.509688
  233,  205,      2485,      2364,             83,             38,         0,         0,              0,              0,         0,     59.97,      0.43,         0,       0.536946
  249,  251,       209,         0,              0,            209,         0,         0,              0,              0,         0,     64.97,      0.12,         0,       0.483054
  252,  250,       383,         0,              0,            383,         0,         0,              0,              0,         0,     64.96,      0.21,         0,       0.492693
  277,  283,       207,         0,              0,            207,         0,         0,              0,              0,         0,     64.97,      0.11,         0,       0.301596
  284,  278,       495,         0,              0,            495,         0,         0,              0,              0,         0,     64.94,      0.28,         0,       0.292130
  286,  158,      3092,      2956,             93,             42,         0,         0,              0,              0,         0,     59.96,      0.53,         0,       0.307717
