    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      3714,      3465,            170,             79,         0,         0,              0,              0,         0,     59.93,      0.64,         0,       0.334388
  204,  232,      2925,      2805,            100,             21,         0,         0,              0,              0,         0,     59.96,      0.50,         0,       0.509919
  233,  205,       824,       781,             28,             15,         0,         0,              0,              0,         0,     59.99,      0.14,         0,       0.536770
  249,  251,       500,         0,              0,            500,         0,         0,              0,              0,         0,     64.94,      0.28,         0,       0.483285
  252,  250,       145,         0,              0,            145,         0,         0,              0,              0,         0,     64.98,      0.08,         0,       0.492526
  277,  283,       515,         0,              0,            515,         0,         0,              0,              0,         0,     64.94,      0.29,         0,       0.301751
  284,  278,       189,         0,              0,            189,         0,         0,              0,              0,         0,     64.98,      0.11,         0,       0.291986
  286,  158,       995,       951,             30,             14,         0,         0,              0,              0,         0,     59.99,      0.17,         0,       0.307547
