A,B,TOLLSEGNUM,TOLLSEGLEN,MINSEGTOLL
19510,19512,1,6.4,0.193
19513,19511,1,6.4,0.193
92006,92007,2,7.4,0.193
92069,92070,2,7.4,0.193
92016,92017,3,3.1,0.193
92059,92060,3,3.1,0.193
92025,92026,4,4.1,0.193
92050,92051,4,4.1,0.193
92029,92030,5,3.3,0.193
92046,92047,5,3.3,0.193
93047,92035,6,4.8,0.193
92042,93048,6,4.8,0.193
92126,92127,7,6.1,0.193
92133,92134,7,6.1,0.193
