A,B,PULL,Seg,Dir,LType
209,127,1,1,NB,EL
128,160,1,1,SB,EL
117,119,1,1,NB,GU
120,118,1,1,SB,GU
202,177,1,2,NB,EL
186,203,1,2,SB,EL
197,200,1,2,NB,GU
201,181,1,2,SB,GU
