    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      1474,      1454,              0,             20,         0,         0,              0,              0,         0,     59.99,      0.25,         0,       0.334075
  204,  232,      1192,      1187,              0,              5,         0,         0,              0,              0,         0,     59.99,      0.20,         0,       0.509692
  233,  205,      1333,      1320,              0,             13,         0,         0,              0,              0,         0,     59.99,      0.23,         0,       0.536808
  249,  251,       102,         0,              0,            102,         0,         0,              0,              0,         0,     64.98,      0.06,      0.23,       0.482991
  252,  250,       110,         0,              0,            110,         0,         0,              0,              0,         0,     64.98,      0.06,      0.23,       0.492506
  277,  283,       101,         0,              0,            101,         0,         0,              0,              0,         0,     64.98,      0.06,      0.23,       0.301557
  284,  278,       149,         0,              0,            149,         0,         0,              0,              0,         0,     64.98,      0.08,      0.23,       0.291971
  286,  158,      1620,      1608,              0,             12,         0,         0,              0,              0,         0,     59.98,      0.28,         0,       0.307577
