    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       339,       338,              0,              2,         0,         0,              0,              0,         0,     60.00,      0.06,         0,       0.334026
  204,  232,       277,       277,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.05,         0,       0.509636
  233,  205,        97,        96,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.02,         0,       0.536729
  249,  251,         9,         0,              0,              9,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.482943
  252,  250,         3,         0,              0,              3,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.492450
  277,  283,         8,         0,              0,              8,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.301528
  284,  278,         4,         0,              0,              4,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.291925
  286,  158,       118,       118,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.02,         0,       0.307517
