    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       495,       493,              0,              3,         0,         0,              0,              0,         0,     59.99,      0.09,         0,       0.334031
  204,  232,       405,       404,              0,              1,         0,         0,              0,              0,         0,     59.99,      0.07,         0,       0.509643
  233,  205,       969,       966,              0,              3,         0,         0,              0,              0,         0,     59.99,      0.17,         0,       0.536780
  249,  251,        12,         0,              0,             12,         0,         0,              0,              0,         0,     64.99,      0.01,      0.23,       0.482945
  252,  250,        29,         0,              0,             29,         0,         0,              0,              0,         0,     64.99,      0.02,      0.23,       0.492463
  277,  283,        12,         0,              0,             12,         0,         0,              0,              0,         0,     64.99,      0.01,      0.23,       0.301529
  284,  278,        39,         0,              0,             39,         0,         0,              0,              0,         0,     64.99,      0.02,      0.23,       0.291935
  286,  158,      1185,      1182,              0,              3,         0,         0,              0,              0,         0,     59.99,      0.20,         0,       0.307555
