    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,        90,        90,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.02,         0,       0.334018
  204,  232,        74,        73,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.01,         0,       0.509627
  233,  205,       225,       224,              0,              1,         0,         0,              0,              0,         0,     60.00,      0.04,         0,       0.536736
  249,  251,         2,         0,              0,              2,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.482940
  252,  250,         7,         0,              0,              7,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.492452
  277,  283,         2,         0,              0,              2,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.301526
  284,  278,         9,         0,              0,              9,         0,         0,              0,              0,         0,     64.99,      0.01,      0.23,       0.291926
  286,  158,       275,       274,              0,              1,         0,         0,              0,              0,         0,     60.00,      0.05,         0,       0.307522
