    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      1595,      1573,              0,             22,         0,         0,              0,              0,         0,     59.99,      0.27,         0,       0.334082
  204,  232,      1289,      1284,              0,              5,         0,         0,              0,              0,         0,     59.99,      0.22,         0,       0.509700
  233,  205,      1179,      1168,              0,             11,         0,         0,              0,              0,         0,     59.99,      0.20,         0,       0.536796
  249,  251,       110,         0,              0,            110,         0,         0,              0,              0,         0,     64.98,      0.06,      0.23,       0.482996
  252,  250,        97,         0,              0,             97,         0,         0,              0,              0,         0,     64.98,      0.05,      0.23,       0.492499
  277,  283,       109,         0,              0,            109,         0,         0,              0,              0,         0,     64.98,      0.06,      0.23,       0.301560
  284,  278,       132,         0,              0,            132,         0,         0,              0,              0,         0,     64.98,      0.07,      0.23,       0.291965
  286,  158,      1434,      1423,              0,             11,         0,         0,              0,              0,         0,     59.99,      0.25,         0,       0.307567
