    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       632,       629,              0,              3,         0,         0,              0,              0,         0,     59.99,      0.11,         0,       0.334036
  204,  232,       516,       516,              0,              1,         0,         0,              0,              0,         0,     59.99,      0.09,         0,       0.509649
  233,  205,      1193,      1189,              0,              4,         0,         0,              0,              0,         0,     59.99,      0.21,         0,       0.536797
  249,  251,        16,         0,              0,             16,         0,         0,              0,              0,         0,     64.99,      0.01,      0.23,       0.482947
  252,  250,        36,         0,              0,             36,         0,         0,              0,              0,         0,     64.99,      0.02,      0.23,       0.492466
  277,  283,        16,         0,              0,             16,         0,         0,              0,              0,         0,     64.99,      0.01,      0.23,       0.301530
  284,  278,        48,         0,              0,             48,         0,         0,              0,              0,         0,     64.99,      0.03,      0.23,       0.291938
  286,  158,      1459,      1455,              0,              4,         0,         0,              0,              0,         0,     59.99,      0.25,         0,       0.307568
