    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      1337,      1309,              0,             28,         0,         0,              0,              0,         0,     59.99,      0.23,         0,       0.334068
  204,  232,      1072,      1065,              0,              6,         0,         0,              0,              0,         0,     59.99,      0.18,         0,       0.509683
  233,  205,      2435,      2399,              0,             36,         0,         0,              0,              0,         0,     59.97,      0.42,         0,       0.536938
  249,  251,       141,         0,              0,            141,         0,         0,              0,              0,         0,     64.98,      0.08,      0.23,       0.483013
  252,  250,       312,         0,              0,            312,         0,         0,              0,              0,         0,     64.96,      0.17,      0.23,       0.492637
  277,  283,       140,         0,              0,            140,         0,         0,              0,              0,         0,     64.98,      0.08,      0.23,       0.301571
  284,  278,       422,         0,              0,            422,         0,         0,              0,              0,         0,     64.95,      0.23,      0.23,       0.292089
  286,  158,      2947,      2913,              0,             35,         0,         0,              0,              0,         0,     59.96,      0.51,         0,       0.307695
