    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      3824,      3742,              0,             82,         0,         0,              0,              0,         0,     59.92,      0.66,         0,       0.334429
  204,  232,      3067,      3044,              0,             22,         0,         0,              0,              0,         0,     59.96,      0.53,         0,       0.509953
  233,  205,       854,       841,              0,             12,         0,         0,              0,              0,         0,     59.99,      0.15,         0,       0.536772
  249,  251,       480,         0,              0,            480,         0,         0,              0,              0,         0,     64.95,      0.27,      0.23,       0.483265
  252,  250,       108,         0,              0,            108,         0,         0,              0,              0,         0,     64.98,      0.06,      0.23,       0.492505
  277,  283,       493,         0,              0,            493,         0,         0,              0,              0,         0,     64.94,      0.27,      0.23,       0.301737
  284,  278,       146,         0,              0,            146,         0,         0,              0,              0,         0,     64.98,      0.08,      0.23,       0.291970
  286,  158,      1033,      1021,              0,             12,         0,         0,              0,              0,         0,     59.99,      0.18,         0,       0.307549
