    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      1523,      1502,              0,             21,         0,         0,              0,              0,         0,     59.99,      0.26,         0,       0.334078
  204,  232,      1231,      1227,              0,              5,         0,         0,              0,              0,         0,     59.99,      0.21,         0,       0.509695
  233,  205,      1630,      1614,              0,             16,         0,         0,              0,              0,         0,     59.98,      0.28,         0,       0.536836
  249,  251,       106,         0,              0,            106,         0,         0,              0,              0,         0,     64.98,      0.06,      0.23,       0.482993
  252,  250,       134,         0,              0,            134,         0,         0,              0,              0,         0,     64.98,      0.07,      0.23,       0.492520
  277,  283,       104,         0,              0,            104,         0,         0,              0,              0,         0,     64.98,      0.06,      0.23,       0.301559
  284,  278,       182,         0,              0,            182,         0,         0,              0,              0,         0,     64.98,      0.10,      0.23,       0.291983
  286,  158,      1982,      1966,              0,             15,         0,         0,              0,              0,         0,     59.98,      0.34,         0,       0.307600
