;Hours,  Dir1, Dir2,  Dir3,  Dir4
1,0.001695672,0.007151274,0.001445672,0.006901274
2,0.000967603,0.003229115,0.000717603,0.002979115
3,0.000815121,0.001627731,0.000565121,0.001377731
4,0.002647309,0.001386031,0.002397309,0.001136031
5,0.00905901,0.002529754,0.00880901,0.002279754
6,0.035768056,0.006333095,0.035518056,0.006083095
7,0.118538487,0.020168482,0.123538487,0.019918482
8,0.134400026,0.032749671,0.139400026,0.032499671
9,0.120159239,0.033963131,0.125159239,0.033713131
10,0.081846195,0.035679576,0.086846195,0.035429576
11,0.059553287,0.034409049,0.059303287,0.034159049
12,0.05274585,0.037673765,0.05249585,0.037423765
13,0.0481282,0.043804539,0.0478782,0.043554539
14,0.044414956,0.049620967,0.044164956,0.049370967
15,0.045929083,0.060902688,0.045679083,0.060652688
16,0.047378652,0.100575591,0.047128652,0.105575591
17,0.04741956,0.133478437,0.04716956,0.138478437
18,0.04959474,0.132529967,0.04934474,0.137529967
19,0.041588703,0.100623305,0.041338703,0.105623305
20,0.027455576,0.05921042,0.027205576,0.05896042
21,0.017705557,0.04212601,0.017455557,0.04187601
22,0.013662526,0.034034311,0.013412526,0.033784311
23,0.00896861,0.024228251,0.00871861,0.023978251
24,0.004557976,0.016964836,0.004307976,0.016714836
