"","Year","Seg","LOS","newPolicy","oldPolicy"
"1",2020,1,"A",6365,5427
"2",2020,1,"B",573,0
"3",2020,2,"A",6076,5220
"4",2020,2,"B",1915,1109
"5",2040,1,"A",6901,5847
"6",2040,1,"B",1688,3394
"7",2040,1,"C",3068,1099
"8",2040,2,"A",6641,5501
"9",2040,2,"B",1488,1479
"10",2040,2,"C",6906,6522
