A,B,PULL,Seg,Dir,LType
204,232,1,1,SB,GU
249,251,1,1,SB,EL
252,250,1,1,NB,EL
233,205,1,1,NB,GU
157,285,1,2,SB,GU
277,283,1,2,SB,EL
284,278,1,2,NB,EL
286,158,1,2,NB,GU
